loan_number,application_date,lock_date,note_rate,LTV,CLTV,DTI,FICO,UW_system,funded_date,action_date,file_status,loan_program
10018975,11-05-2025,12-13-2025,6.63%,97.59%,104.55%,28.452%,743, DU ,None,01/27/26,Withdrawn,FHA30
10019369,Jun 19 2025,,6.0,84.472%,0.8607,44.03,620,D.U.,20250917,NA,FUNDED,30 Year VA
10039259,2024-04-22,05/08/2024,6.16%,64.39%,77.17%,54.77,754,MANUAL UW,06/11/2024,N/A,Funded,Conv 30yr
10030568,08/03/25,09-04-2025,7.36%,90.031%, 97.5 ,0.4193,731, DU ,NULL,2025-10-22,EXP,Conv 30
10025124,06/26/2023,Jun 28 2023,5.20%,0.5476,56.43,38.99,768,DU,Aug 31 2023,None,Funded,Conv 30
10011291,03/07/2026,03/22/2026, 5.5 ,78.87,85.41%,31.35,697, DU ,NULL,06-01-2026,Declined,Conv 30
10014119,03-30-2026,2026-04-10,6.01, 83.8 ,92.0,0.4482,657,Loan Product Advisor,May 16 2026,NA, Funded ,Conv 30
10023553,06-16-2025,2025-07-27,6.48, 79.0 ,78.27%, 61.8 ,761,LPA,2025-10-16,None,funded,Non-Conforming 30
10034339,20240302,Mar 18 2024,6.10%,79.346%, 86.9 ,21.073%,723,DESKTOP UNDERWRITER,04-02-2024,N/A,Fund,30 Year Conventional
10019813,00/12/2026,20260126,6.590%,0.8866,90.53,47.71,751,manual underwriting,04-01-2026,N/A,Closed/Funded,VA30
10000946,20251104,12/10/25,6.49,72.25,0.7049,40.7,737,du,NA,20260101,CXL,30 Year Conventional
10030247,Dec 07 2025,20260120,4.951%,0.6589,65.04,50.7,725,LPA,03/13/26,NULL,funded,15yr fixed
10008973,20260617,20260721, 5.8 ,0.5963,0.5943,31.42,735,du,Oct 01 2026,NA,Fund,30 Year Conventional
10019358,2025-04-30,05/17/2025, 7.4 ,69.80%, 68.7 ,43.36%,754,None,,2025-06-04,W/D,F.H.A.
10034993,01-26-2025,20250204,7.05, 63.3 ,63.63%,32.98,714,du,02/28/25,N/A, Funded ,30YR FHA
10010938,06/07/25,07-05-2025,5.12%,103.81,103.103%,44.18%,726,LPA,2025-08-17,N/A,funded,Conv 30
10047973,01/18/2026,20260216,6.18,64.37,62.95,34.028%,705,LP,03/18/2026,None,funded,15 Year Conventional
10023840,20250819,20250921, 6.9 ,50.17%,61.494%,33.72,812,Desktop Underwriter,,10/31/25, WITHDRAWN ,VA30
10003353,06-05-2026,07/13/26,0.081,0.5191,53.29,42.68%,759, DU ,08-11-2026,None,Fund,CONV30
10031503,04/13/25,2025-05-25,5.56,87.94,100.122%,40.271%,747,du,06/11/25,N/A,Closed/Funded,30 Year Conventional
10009873,Jul 04 2025,08/06/25,6.93%,61.08, 65.4 ,44.167%,628,Desktop Underwriter,10-08-2025,,Funded,CONV30
10045792,05/15/2023,2023-06-04, 7.0 ,74.44,68.98, 54.9 ,779,DU,2023-08-16,None,funded,CONV30
10017942,11/18/2024,12-25-2024,5.373%, 56.7 ,56.378%,28.096%,745, LPA ,N/A,N/A,funded,FHA
10038502,07-09-2025,07-22-2025,6.98,0.8451,97.48,0.2319,734,du,20251011,N/A,Fund,30 Year Conventional
10014056,12-27-2023,N/A,5.023%,105.00%,1.0651,NULL,660,LP,20240324,NA,FUNDED,30 Year Conventional
10009203,Apr 16 2026,20260421,0.0689,0.5476,57.595%,44.57,714, DU ,2026-05-16,NA, Funded ,Conventional 30YR
10011567,06-06-2024,2024-07-17,six point five,63.48,67.94%,0.3401,780,MANUAL UW,Sep 13 2024,NA,Closed/Funded,Conv 30yr
10002699,2023-06-05,Jun 16 2023,6.01, 66.2 ,69.293%,0.3264,650,Desktop Underwriter,06/27/2023,N/A,Fund,Conventional 30YR
10037996,2025-11-28,12-07-2025,5.47%, 62.0 ,68.641%,45.135%,785,LP,01-28-2026,N/A,Funded,30yr fixed
10014396,Feb 21 2023,2023-02-24,6.13,52.27,59.71,35.72%,715,LP,Mar 25 2023,,funded,Conv 30yr
10036277,06-28-2025,07/22/2025,7.65%,96.33%,None,,827,Desktop Underwriter,20250811,,funded,V.A.
10013821,02/09/2024,Mar 02 2024, 5.2 ,67.78,70.77,0.3956,717,Desktop Underwriter,03/17/2024,NULL,funded,30 Year VA
10013846,06/21/2023,2023-07-30, 5.2 ,72.386%,80.74%,0.3264,662,DU,,Sep 27 2023,Declined,FHA 30YR
10035513,12/30/25,2026-01-11,5.45%,52.05,0.5451,45.63,804,Manual,None,03/19/2026,WD,JUMBO30
10005294,04/19/2026,2026-05-11,6.78%,0.7775,96.931%,38.49,720,Loan Prospector,2026-07-30,N/A,Fund,Conv 15
10022102,Apr 07 2026,05/07/26, 7.0 , 68.8 ,77.249%, 29.2 ,733,DESKTOP UNDERWRITER,N/A,2026-06-13,WD,Conv 30yr
10037827,20241227,01-04-2025,4.48,78.705%,84.23,36.49,675,LPA,20250306,,Funded,30 Year Conventional
10038905,20231115,20231225,5.498%, 77.1 ,82.279%,33.3,780, LPA ,20240131,NA,Closed/Funded,F.H.A.
10007735,10/29/2024,11/23/24,0.0692,0.6188,60.861%,25.078%,718, DU ,,02/01/2025,CXL,30 Year Conventional
10010852,08-21-2023,2023-09-24,7.58,80.09,78.41,41.863%,847,D.U.,NA,11-29-2023,Withdraw,FHA 30YR
10044047,03-29-2024,04/03/2024, 6.0 ,100.22,107.38,33.35, 740 ,Loan Product Advisor,04/17/24,None,Funded,30yr fixed
10011925,Oct 22 2024,NULL,0.073,75.71,80.11%, 19.2 ,771,DESKTOP UNDERWRITER,20250126,None,Fund,Conv 30yr
10034697,Oct 20 2025,12/01/2025,0.0445, 57.9 ,51.746%,32.116%,802,Loan Product Advisor,Feb 12 2026,,FUNDED,FHA 30YR
10034509,03-31-2023,2023-05-06,8.13%,80.13%,0.8399, 47.8 ,652,DU,N/A,20230714,Withdraw,30yr fixed
10026296,04/25/2023,05/28/2023,5.98,84.43%, 87.9 ,30.24,717,D.U.,08-20-2023,None,Fund, conventional 30 
10032576,11/15/25,20251226,5.9,72.52%,0.8682,44.68%,763,du,02-16-2026,NULL,Funded,30 Year VA
10003964,2023-09-18,2023-10-30,7.02%,71.089%,61.35,29.36,758,du,Dec 20 2023,N/A,funded,CONV30
10030948,20230607,Jul 13 2023,5.297%, 80.0 ,84.0,6.938%,756,DESKTOP UNDERWRITER,Sep 11 2023,N/A, Funded ,FHA 30YR
10048861,05/19/2023,May 20 2023,7.43, 55.7 , 47.7 ,42.98,714,Man UW,2023-07-30,NA, Funded , conventional 30 
10044096,20250804,08-27-2025, 7.6 ,72.15%,81.764%,39.79%,766,D.U.,10/01/25,,Funded,Conventional 30YR
10007126,Nov 06 2024,20241221,6.9,49.76,29.635%,46.24%,776,manual,02/22/2025,,FUNDED,Conventional 30YR
10039207,08-13-2024,Aug 22 2024,7.13%,76.30%, 73.4 ,59.41%,714, LPA ,2024-11-10,NULL,funded,Conv 30
10011306,20250910,10/23/2025,5.19%, 59.1 ,64.05,58.168%,727,LPA,20251102,,FUNDED,FHA 30YR
10049009,20230901,10-03-2023,6.59%,66.24, 75.8 ,33.83,707,Loan Prospector,Nov 09 2023,NULL,Fund,CONV30
10013830,09-14-2025,10/06/25,6.446%,94.2,95.54%,47.86,743,DU,01-03-2026,N/A,Closed/Funded,Conv 30
10017883,2026-04-14,May 16 2026,5.91, 92.3 ,91.14%,49.286%,697,du,20260712,N/A,funded,JUMBO30
10029471,02/28/26,03-16-2026, 4.4 ,0.8069,76.60%,35.06,745,LP,2026-03-27,NA,Closed/Funded,30 Year Conventional
10015689,2025-08-26,2025-09-27,0.0598,55.71,66.79,21.26%,734,LPA,11/23/25,NULL,Funded,F.H.A.
10024491,20240416,04/30/24,5.38,58.876%,0.6851,0.3194,751,Loan Prospector,06/17/24,N/A,FUNDED,Non-Conforming 30
10013771,03-24-2025,04/06/25,6.76,85.994%,9O%, 51.4 ,681,D.U.,,2025-05-01,withdrawn, conventional 30 
10007692,01/06/2024,2024-02-12,0.0769,88.99,106.71%,30.57,679, LPA ,04/15/2024,,Funded,15yr fixed
10038982,2023-08-10,20230909,7.322%, 60.9 ,0.73, 29.8 ,691,lpa,11/08/23,,Funded,Conv 30
10011074,02/11/2026,03-17-2026,5.39,1.0107,1.0087,36.02,710,DU,2026-05-18,,Funded,FHA30
10042229,Apr 25 2024,05/01/2024,0.0627, 98.8 ,100.63,,645,DESKTOP UNDERWRITER,06/27/24,N/A,funded,Conv 30yr
10024042,06/26/24,Jul 03 2024,6.74,0.9233,85.497%,44.37%,681,D.U.,N/A,2024-08-02,cancel,Conv 15
10010936,12-14-2023,2024-01-02,6.980%, 65.1 ,65.863%,35.90%,796,DU,03/14/2024,NA,FUNDED,V.A.
10023099,03/30/2024,04-30-2024,6.81%, 59.8 ,0.6085,28.01,seven hundred,lpa,Jul 06 2024,NA,Closed/Funded,30yr fixed
10015173,2024-09-16,20241020,5.96,74.260%, 82.9 ,40.08,844,Loan Prospector,20241210,NULL,Closed/Funded, conventional 30 
10007054,20250413,04/21/25,6.11,82.54,81.83,0.2128,684,D.U.,2025-05-10,N/A,FUNDED,Conv 30
10010924,20240516,2024-06-01,0.0599,65.11,N/A,21.43,615,LPA,Jul 01 2024,None,Fund,30 Year Conventional
10046074,20260201,20260225,6.03, 63.9 ,55.93, 33.6 ,683,du,N/A,Apr 07 2026,Canceled,VA30
10041656,20260130,Feb 09 2026,5.91,0.7265,77.048%, 39.8 ,756,Loan Prospector,2026-03-27,NULL, Funded ,CONV30
10047210,08/17/2025,20250920, 4.9 ,0.9432,91.74,28.58,756,LP,10/02/25,,Closed/Funded,30 Year Conventional
10015757,20231027,11/14/2023,,105.000%,100.93%,36.154%,688, LPA ,Dec 23 2023,,Closed/Funded,Conventional 30YR
10037183,03-06-2023,2023-03-17,7.46,71.34,74.164%, 38.3 ,738,LPA,04-09-2023,N/A,Funded,V.A.
10041825,2026-01-16,Feb 22 2026,7.35%,70.964%,80.4,0.3777,712,manual underwriting,None,04/29/2026,Denied,Conventional 30YR
10012841,N/A,2024-09-11,6.8,105.00%, 105.2 , 20.0 ,784, LPA ,20241025,NULL,Funded,30 Year VA
10025525,03/23/23,2023-04-13,6.008%,54.768%,54.97, 23.1 ,702,LP,05-15-2023,,funded,30yr fixed
10045300,20230112,2023-02-20, 5.2 ,69.370%,72.15,0.4284,722,Desktop Underwriter,04-10-2023,,Funded,Conv 30
10043580,20260608,2026-06-24,0.0445,0.6322, 58.8 ,36.1,772, LPA ,NA,07/05/26,WD,Non-Conforming 30
10035204,07-29-2025,20250813,6.77,0.8202,87.95%,38.512%,710,du,Nov 04 2025,,Funded,Conv 15
10030537,20250216,20250302,6.58%,89.85,96.383%,38.95,706,du,03-30-2025,NULL, Funded , conventional 30 
10024357,Sep 15 2025,2025-10-24,0.0597,65.55,64.53%,23.35%,772,D.U.,01/04/2026,,Funded,CONV30
10038695,02/27/24,Mar 23 2024,4.45,74.96%, 68.8 ,29.31,758,manual underwriting,,04/20/24,CANCELLED,FHA 30YR
10001341,Jan 24 2024,Jan 04 2024,6.297%,57.02,59.15,0.4467,688,manual underwriting,20240508,,Closed/Funded,30 Year Conventional
10023998,20230512,Jun 12 2023, 7.1 ,87.0,77.36,29.47%,661,DESKTOP UNDERWRITER,NULL,Jul 26 2023,CANCELLED,VA 30YR
10014561,2023-04-23,2023-05-14,6.51,103.25,101.708%,29.53%,721,DESKTOP UNDERWRITER,07/24/2023,NA,Fund,15 Year Conventional
10044593,02-05-2024,Feb 12 2024,5.91%,87.4,97.52,33.84,747, DU ,05/10/24,NA,Funded,Non-Conforming 30
10015795,Jul 16 2024,08/20/2024,0.0695,91.79, 96.2 ,35.03%,752,du,10/01/24,None,Closed/Funded,Jumbo
10043599,Apr 19 2026,05/25/26,6.73,60.41,77.43, 27.9 ,706,MANUAL UW,N/A,2026-07-03,Cancelled,30yr fixed
10015956,Dec 08 2025,2025-12-25,6.53,62.424%, 59.0 ,33.46,748,DU,01-07-2026,, Funded ,VA30
10016341,04-17-2023,05/09/23,6.92%,77.56, 74.2 ,36.896%,709,du,2023-05-27,N/A,Funded,FHA30
10022689,Mar 16 2025,03-25-2025,6.77%,78.75,88.69,35.82,783,Loan Product Advisor,2025-04-21,,FUNDED,FHA30
10025140,03/30/2023,04/04/23,5.868%,82.68,84.24%,37.62,755,DU,Jun 01 2023,NULL,funded,30 Year VA
10023587,04/15/25,05/16/25,7.09,0.6184,0.6107,38.077%,699,DESKTOP UNDERWRITER,07-12-2025,, Funded ,CONV30
10015670,00/12/2026,20251128,4.801%,0.7989,0.8772, 40.9 ,820,DU,20260113,,funded,Conventional 30YR
10040754,05/11/23,Jun 15 2023,7.24,72.23,75.67,24.69,707, LPA ,06-25-2023,NULL,Funded,V.A.
10013538,12-30-2025,01/22/2026,5.39%,103.36%,107.646%,42.06,674, LPA ,None,N/A, Funded ,Conventional 30YR
10025803,2023-12-05,2023-12-25,7.57,0.6649, 69.9 ,51.31%,720,lpa,03/05/24,N/A,funded,30YR FHA
10017761,06-28-2026,20260630,0.0749,90.65%,96.57,31.22,690,du,N/A,08/14/2026,Withdrawn,30yr fixed
10013045,2025-05-24,20250525,5.85,82.68,92.8,30.17%,766,du,07/03/25,NULL, Funded ,30yr jumbo
10005291,12-24-2023,2024-01-20, 6.4 ,84.26, 86.1 ,0.3,768,D.U.,02/05/2024,,FUNDED,FHA 30YR
10029235,20240924,10/28/24,6.03%,76.62,75.43,0.3239,644,du,01/17/2025,, Funded ,Conventional 30YR
10026450,Jan 06 2025,01/11/2025, 6.0 , 81.1 ,82.05,40.56,679,lpa,NULL,2025-02-16,Lock Expired,F.H.A.
10035001,20260418,20260428,6.478%, 72.0 ,68.175%,40.31%,723, LPA ,,2026-06-22, WITHDRAWN ,Conventional 30YR
10012977,20251127,01/11/26, 7.3 ,73.08,69.05%,0.4267,681,Loan Product Advisor,20260222,,Fund,F.H.A.
10046624,12/11/2025,01/04/2026,5.56,80.37,96.05,58.67,693,Desktop Underwriter,2026-02-26,None,funded,Jumbo 30YR
10013342,06/14/25,20250626, 5.8 ,0.7015,85.9,28.44,699,DESKTOP UNDERWRITER,Aug 26 2025,,FUNDED,Conv 30yr
10020593,04/08/2026,2026-05-23,6.627%,65.33,71.239%,0.65,796,DESKTOP UNDERWRITER,NA,20260617,W/D,Conventional 30YR
10012732,08/21/2023,09-17-2023,4.73,66.35,72.16%,0.3023,673,LPA,,10/28/2023, WITHDRAWN ,30yr jumbo
10035979,03-24-2026,04/19/26,6.26, 88.4 ,87.170%,0.4342,750,Loan Prospector,20260610,,Fund,30 Year Conventional
10022886,2026-01-26,01/27/2026,5.391%,0.7398,80.77,57.55,634, DU ,2026-03-22,N/A,FUNDED,Jumbo
10020735,2026-05-22,2026-06-25, 6.0 ,81.61%,87.476%,33.42%,745, DU ,07/18/26,,funded,Jumbo
10043403,12-30-2023,2024-02-04, 6.3 ,98.26,109.14,45.22,750,LPA,20240425,N/A,Closed/Funded,30YR FHA
10012615,20250120,02/09/25,6.361%,0.7203,77.80%,52.76,744,Loan Product Advisor,20250317,,Fund,Conv 30yr
10048280,07/30/25,09-08-2025,7.51%, 78.5 ,0.8734,36.56,726,LP,,10/27/2025,Withdraw,Jumbo 30YR
10032715,Jun 26 2025,06-30-2025,7.93,0.7693, 80.9 ,17.84%,711,Manual,08/20/25,,Closed/Funded,Conventional 30YR
10024926,04-19-2024,05/29/2024,3.97, 94.6 ,89.81%,53.61,670,manual,NULL,08/06/2024,cancel,Jumbo
10049472,20250219,20250309,7.55,83.72, 94.4 ,0.2113,782,DU,May 23 2025,N/A,Closed/Funded,Jumbo
10017740,20230519,Jun 11 2023, 7.1 ,64.38%,0.5964,22.08,750,D.U.,07/07/2023,NULL,FUNDED,Conventional 30YR
10005073,Aug 19 2025,2025-09-30,5.51,87.52%, 81.0 ,60.37,838,Loan Prospector,11-03-2025,,Fund,15 Year Conventional
10030947,20230106,02/08/23, 7.0 ,81.58%,85.29%,32.62,726,du,,2023-04-06,Withdrawn,FHA 30YR
10025366,20240630,Jul 26 2024,6.543%,0.7334,83.03%,32.95,537,Manual,NULL,2024-09-11,cancel,Conv 30yr
10000689,06-03-2023,07/18/2023,5.582%, 81.8 ,0.7721,37.99%,728,DU,08/06/23,NA,Funded, conventional 30 
10005762,11/20/24,2024-12-20,7.771%,69.60%,0.7073,53.42%,730,du,N/A,20250113,Canceled,15 Year Conventional
10025153,05/01/25,05-10-2025,4.94,83.29%,0.8902,0.4242,726,D.U.,May 27 2025,NULL,Closed/Funded,V.A.
10047146,02/30/2025,Aug 09 2023,5.91,76.99%,82.706%,40.455%,794, DU ,20230830,NULL, Funded ,FHA 30YR
10019914,Jan 05 2026,01-14-2026, 6.5 ,95.10%,101.25,44.19%,732,du,2026-03-04,,Funded,VA30
10033736,20231116,2023-12-26, 6.9 , 72.0 ,72.93,49.01%,760, LPA ,20240105,,FUNDED,30 Year Conventional
10026228,20250113,20250215,5.770%,86.194%,89.629%,62.383%,751,du,20250420,, Funded ,Conventional 15YR
10014706,08-19-2024,20240913,0.0581,66.96%,0.7183,39.74%,806,D.U.,10-08-2024,NA, Funded ,Conventional 30YR
10040117,07/10/24,2024-07-12,5.14,0.8004,64.3, 35.9 ,796,DESKTOP UNDERWRITER,,20240909,Denied,Conv 30
10042404,01/21/24,03/06/2024, 5.5 ,85.525%,82.95,33.84,712,Loan Prospector,,2024-03-29,denied,Conv 30yr
10038278,04/12/2026,04/19/2026,5.25,67.93%, 77.7 ,36.673%,788,LP,2026-04-14,N/A, Funded ,Conv 30
10017982,05/24/2025,05/26/25,7.16,86.09,90.8,41.8,672,DU,07-05-2025,N/A,funded,Conv 15
10042101,12/31/2025,2026-01-26,4.97, 69.6 ,0.8058,34.58%,701,DESKTOP UNDERWRITER,None,20260406,Canceled,Non-Conforming 30
10040207,2024-01-30,03/07/2024,0.0716,83.15%,0.8564,0.4835,731,Desktop Underwriter,04/28/2024,,Fund,Jumbo 30YR
10030585,10/23/25,11/02/25,0.0596,0.508,0.655,0.5141,672, DU ,None,2026-01-14,Cancelled, conventional 30 
10045626,2026-03-02,2026-04-02,0.0626,52.93%,52.89, 46.7 ,795,lpa,2026-04-26,None,Funded,30 Year Conventional
10010959,11/16/2024,11-19-2024,0.0606,70.38%, 65.1 ,12.538%,664,Loan Prospector,20250203,, Funded ,Conventional 30YR
10026945,05/07/23,06/19/2023,6.82%,93.21%,0.92,44.68,720, LPA ,07-24-2023,NULL, Funded ,JUMBO30
10002027,2026-05-17,20260626,6.01,74.45,74.518%,38.28,795,Loan Product Advisor,07/28/26,NA, Funded ,Conv 30
10017912,20230304,Apr 12 2023,7.42%, 78.4 , 82.0 ,51.21%,662,LPA,NULL,05/23/23,Denied,30yr jumbo
10041047,11-09-2024,20241127,5.0,72.18,83.34,,755, LPA ,02/09/2025,,funded, conventional 30 
10022144,Jan 25 2025,20250131,0.0755,72.21,77.85,,766,manual underwriting,2025-03-23,, Funded ,Conv 30yr
10028266,01-23-2025,02/11/25,0.0702,74.9,78.21,0.3664,732,D.U.,2025-03-03,,Closed/Funded,Conv 30yr
10010192,07-16-2024,Aug 30 2024,6.219%,74.167%,72.52%,51.27,N/A,Loan Product Advisor,NA,2024-11-02,Withdrawn,30YR FHA
10027280,04-09-2024,05/11/2024,6.44,74.54,0.8596,45.379%,718,Manual,2024-07-10,NA,Fund,30yr jumbo
10033610,08-16-2025,2025-09-11,5.69,70.331%,70.35,0.3514,722, LPA ,Oct 08 2025,N/A,Closed/Funded,CONV30
10018879,06/13/23,20230727,6.91,0.4515, 45.2 ,31.44%,735,MANUAL UW,Oct 24 2023,NA,Funded,Conventional 15YR
10008617,02-07-2026,02/20/2026,6.22%,69.692%,57.96,55.70%,756,Loan Product Advisor,N/A,2026-03-01,WD,30YR FHA
10008581,03/01/26,03/19/2026,0.0789,73.49,67.17%,26.98,751,D.U.,04/15/26,,Fund,15yr fixed
10008300,NULL,20240530, 5.9 , 78.7 , 92.3 ,25.42,711,du,2024-08-02,,funded,15 Year Conventional
10015844,12-26-2023,01/20/2024, 8.1 ,80.93, 90.5 ,39.49%,781, LPA ,2024-03-18,N/A,FUNDED,30yr fixed
10043084,2025-02-14,03/16/2025,0.0537, 73.1 ,78.320%,0.3393,792,MANUAL UW,NA,05/20/2025,W/D,FHA30
10049758,Apr 23 2025,None,0.0687, 77.2 ,90.505%,38.519%,699,Desktop Underwriter,May 20 2025,,FUNDED,30 Year Conventional
10008891,20250116,2025-02-17,8.715%, 88.0 ,0.9684,14.5,602,du,2025-04-14,,Funded,30yr fixed
10030822,10/18/2025,10-28-2025, 6.9 , 71.5 ,77.2,38.80%,765,LP,None,20260110,withdrawn,JUMBO30
10012437,2025-07-23,20250727,7.75,85.28%,86.71,24.18%,757,du,20251001,, Funded ,Non-Conforming 30
10040669,12/09/2024,20250115,5.5,73.33%,0.7911,34.87,701,LP,2025-03-14,NULL,Funded,30YR FHA
10025598,Oct 23 2023,10-25-2023,5.71%,65.561%,0.5816, 60.6 ,733,LP,01/01/2024,None,funded, conventional 30 
10046401,2024-11-20,12/24/2024,7.35,0.9722, 95.5 ,36.15,684,DESKTOP UNDERWRITER,,12/30/24,denied,VA30
10010807,08/31/2023,20230918,0.0593,0.5968,52.75%,0.3874,736,du,10-28-2023,N/A, Funded ,VA
10001862,May 16 2025,05/26/2025, 5.8 ,66.51,80.12,37.44,670,Loan Product Advisor,Aug 12 2025,N/A,Funded,CONV15
10014103,2023-04-01,20230426,6.85,0.6125,55.25,29.48,761,DESKTOP UNDERWRITER,2023-07-10,NULL,funded,F.H.A.
10037525,2024-01-12,01/25/2024,6.43%,0.654,68.71,36.540%,673, DU ,20240204,, Funded ,Jumbo 30YR
10021186,12-20-2025,12/26/25, 6.8 ,70.912%,83.79,27.28,667,Desktop Underwriter,,02/19/2026,Withdraw,Conventional 30YR
10047590,Jun 21 2023,07/02/23,5.313%, 63.1 , 62.5 ,38.937%,668,du,07-26-2023,NULL,funded,F.H.A.
10019780,04/14/26,05/14/26,0.0605,72.636%,68.27,34.60%,735,DU,06/18/2026,None,FUNDED,30yr fixed
10045508,Aug 13 2025,09-03-2025,6.37%,72.903%,68.13%,42.720%,775,DU,20251015,N/A,Closed/Funded, conventional 30 
10003451,12/23/23,01/26/24,5.532%,70.12,0.7192,56.26%,717,du,,02/27/24,EXP,Conventional 30YR
10037933,20250815,08-29-2025,4.91, 51.2 ,48.28,0.3525,691,lpa,2025-10-29,NULL,Funded, conventional 30 
10037403,20250301,Apr 03 2025,6.143%,80.481%, 78.8 ,30.818%,749,Man UW,05/18/25,,FUNDED,30YR FHA
10002931,20230729,09/02/2023, 3.0 ,82.04,92.212%,0.324,749, DU ,11-10-2023,NA, Funded ,Conv 30
10032393,07-18-2025,08/21/2025, 4.8 ,0.7534, 70.8 ,25.40%,715,D.U.,Sep 01 2025,N/A,Fund,30yr jumbo
10023673,Aug 14 2024,08/27/24,six point five,63.37%,67.784%,14.653%,828,DESKTOP UNDERWRITER,2024-09-06,NULL, Funded ,CONV30
10040139,12-22-2023,2024-02-04, 5.4 , 85.6 ,86.99,33.813%,655, LPA ,Apr 25 2024,NULL,Closed/Funded,30yr fixed
10024405,Dec 15 2025,2026-01-23,N/A,92.60%,93.174%,20.34%,849,lpa,02/11/2026,NULL,Fund,CONV30
10024021,03-19-2023,04-30-2023,6.033%,0.7896,69.25%,37.57%,640,D.U.,07/22/23,,Fund,30yr fixed
10012382,2024-07-10,08/14/24,6.52, 64.4 ,64.060%,N/A,760,lpa,20240826,None,Fund,Jumbo
10034506,2024-11-05,11-06-2024, 5.6 , 72.2 ,63.15,43.142%,771,MANUAL UW,None,NULL, WITHDRAWN ,30 Year Conventional
10004465,2025-12-31,01/10/2026, 5.2 ,80.33,86.25,0.3557,618,D.U.,Mar 04 2026,,Closed/Funded,FHA30
10031443,Jul 19 2025,20250728,5.86, 84.6 ,77.55%,N/A,802, DU ,20251003,N/A,Funded,30yr jumbo
10048356,09-03-2025,10-11-2025,5.68, 89.5 ,0.9011,51.14,826,manual,11/15/2025,,FUNDED,15yr fixed
10014912,06/01/24,06-15-2024,7.79%,72.96%,85.651%, 34.9 ,795,Desktop Underwriter,,06/22/2024,withdrawn,VA 30YR
10003740,08-03-2023,2023-08-04,6.94%, 63.5 , 66.7 ,52.769%,797,D.U.,2023-09-14,NA,Closed/Funded,Conv 30
10041036,07/11/2024,07/21/2024,6.86,73.39,72.04%,33.09,747,Manual,2024-08-22,N/A, Funded ,Conventional 30YR
10025145,20240212,20240312,5.63,68.13%, 60.7 ,0.3877,742,DESKTOP UNDERWRITER,20240401,NULL,funded,VA
10025701,May 03 2024,06-01-2024,7.91,73.338%,89.33, 29.8 ,684,DU,Aug 23 2024,None,funded,Conv 30yr
10048283,20240531,20240701,6.97,91.31%,88.326%,38.615%,679, DU ,Jul 17 2024,,FUNDED,CONV30
10029772,07/15/2024,Jul 27 2024,4.93,0.8479, 86.4 ,0.1689,760,Desktop Underwriter,,Sep 24 2024,CANCELLED,Conv 30
10013031,10-29-2023,2023-11-29, 6.0 ,102.81,101.157%, 22.9 ,747,DESKTOP UNDERWRITER,Jan 04 2024,,Funded,JUMBO30
10013104,20240725,07/29/2024, 5.1 , 66.0 ,68.180%,35.498%,743,Manual,08-12-2024,,Funded,Conventional 30YR
10042278,01/26/2023,20230220, 6.0 ,71.76%,76.09,38.79%,749,lpa,May 10 2023,N/A,funded,30 Year VA
10009718,04-25-2024,Jun 02 2024,0.0605,,0.8296,45.33,721,DESKTOP UNDERWRITER,08-27-2024,,Funded,30 Year Conventional
10022563,2025-10-20,11/10/2025,0.057, 77.5 ,78.01%, 40.0 ,761,Man UW,,Jan 01 2026,Denied,JUMBO30
10039460,2025-07-17,08/13/25,6.019%,81.24,93.24,33.46,742,Desktop Underwriter,20251022,,Funded,30yr fixed
10018732,03/09/2023,04/07/2023,5.41,72.15, 78.2 ,41.51,790,lpa,20230517,NULL,Funded,Conv 30yr
10003625,12/26/2024,Jan 05 2025,NULL,69.746%,65.03,0.4049,759, LPA ,Mar 01 2025,N/A,Fund,CONV30
10010903,06-03-2024,20240718,0.076,71.350%,65.26,45.58,750,Loan Product Advisor,2024-08-27,NA,Closed/Funded,30yr fixed
10000167,03-17-2024,2024-04-11,6.438%,82.10%,78.85%,31.33,706,lpa,05/06/2024,None,FUNDED,Conv 30yr
10027412,Mar 20 2024,04-30-2024,7.02%, 87.8 ,89.53,28.60%,692,du,,Jun 17 2024,EXP,Conv 15
10033207,01/07/2026,Feb 15 2026,6.07%, 88.7 ,89.9,58.66,702,du,2026-04-04,N/A,FUNDED,Conv 30yr
10009586,03/16/2026,03-30-2026,6.24, 74.7 ,0.8873, 46.6 ,758,du,NULL,20260515,Canceled,F.H.A.
10019678,20230828,2023-08-29,0.064,0.9876,109.31,21.94,757, DU ,09/23/23,NULL,Fund,VA30
10002227,2026-02-17,20260227,six point five, 61.8 ,54.00%, 43.8 ,707,du,04/14/2026,,FUNDED,30 Year Conventional
10002535,07/18/2023,2023-08-13,6.65%,78.420%,80.47,37.28,733,D.U.,NA,Oct 17 2023,withdrawn,FHA
10006370,03/02/2025,03/08/2025,6.83,74.358%,76.63%,42.9,755,lpa,2025-05-05,NA,Fund,Conventional 30YR
10003337,Apr 14 2023,May 20 2023,0.0639,78.11, 87.9 , 45.4 ,N/A, DU ,NA,20230716,Lock Expired,FHA 30YR
10008299,08/22/24,09/13/2024,4.88%,78.418%,0.8393,0.4572,776,D.U.,11-21-2024,N/A,FUNDED,Jumbo 30YR
10026480,10-25-2023,11/17/2023,7.372%,0.8818, 95.8 ,0.314,756,lpa,N/A,20231223,cancel,30yr fixed
